sector,BL,FL,BL_n,FL_n,type
Agric; forestal,1.8659931685586746,NA,1.081511853834289,NA,Otros
Pesca,1.4710977775750578,NA,0.8526342493663183,NA,Otros
Petróleo y gas,1.6320476057922648,NA,0.9459192356259175,NA,Otros
Minería,1.483864555496188,NA,0.8600337521563726,NA,Otros
Apoyo a minería,1.5987618722330268,NA,0.9266271417348708,NA,Otros
Alim.; beb.; tabaco,2.152219291452057,NA,1.2474057863535222,NA,Otros
Textiles y cuero,1.8862008417530631,NA,1.0932240285980486,NA,Otros
Prod. Madera,1.7644966618040743,NA,1.0226854459848647,NA,Otros
Papel e impr.,1.8820719841306088,NA,1.090830982076379,NA,Otros
Ref. petróleo,2.226053774060463,NA,1.2901995486824556,NA,Otros
Químicos,1.9052394668353043,NA,1.1042586342193839,NA,Otros
Farmacéutica,1.9578564006593266,NA,1.1347549075187386,NA,Otros
Caucho y plástico,1.7843257167817115,NA,1.0341781772391871,NA,Otros
Miner. no metálicos,1.8022188387396554,NA,1.0445488601686248,NA,Otros
Metales básicos,1.9467620656286655,NA,1.1283247366862608,NA,Otros
Prod. metal,1.8001882330060466,NA,1.0433719404411759,NA,Otros
Electrónica,1.9082324817095375,NA,1.1059933571110467,NA,Otros
Eq. eléctrico,1.9274973527759542,NA,1.1171590927482316,NA,Otros
Maq. y equipo,1.786954405307694,NA,1.0357017400521658,NA,Otros
Automotriz,1.859372967497036,NA,1.0776748484027747,NA,Otros
Otro eq. transp.,1.6091719546268701,NA,0.9326607262613509,NA,Otros
Otra manuf.,1.633840955232581,NA,0.9469586438673031,NA,Otros
Elec; gas,2.0204957984605505,NA,1.17106010540507,NA,Otros
Agua,1.5451971680656433,NA,0.8955815497786586,NA,Otros
Construcción,1.6596274878669826,NA,0.9619042723847598,NA,Otros
Comercio,1.426545239688564,NA,0.8268120230824663,NA,Otros
Transporte terr.,1.9055778296197727,NA,1.1044547460639849,NA,Otros
Transporte acu.,1.9472616663889253,NA,1.1286143005247087,NA,Otros
Transporte aéreo,2.1022346981596267,NA,1.2184351925347865,NA,Otros
Apoyo a transporte,1.6359551714147318,NA,0.9481840234137515,NA,Otros
Correos,1.6221395828479719,NA,0.940176639970762,NA,Otros
Hoteles y rest.,2.062646189595964,NA,1.1954900703292786,NA,Otros
Publicaciones,1.888871595296994,NA,1.0947719718944662,NA,Otros
Telecomunicaciones,1.8973412441380313,NA,1.0996808996299685,NA,Otros
IT,1.7092929614555137,NA,0.9906899074649673,NA,Otros
Finanzas y seguros,1.5693459974991757,NA,0.909577981131492,NA,Otros
Inmobiliaria,1.2888520686898137,NA,0.74700637366403555,NA,Otros
Serv. prof.,1.5559132884461035,NA,0.9017925110050252,NA,Otros
Serv. admin.,1.4478475384962506,NA,0.8391586324177128,NA,Otros
Admin. pub.,1.409260013359648,NA,0.8167936706651469,NA,Otros
Educación,1.2411205253513657,NA,0.719341626122537,NA,Otros
Salud,1.5072987988295719,NA,0.8736160162170006,NA,Otros
Entretenimiento,1.7343408691528261,NA,1.0052074360094663,NA,Otros
Otros serv.,1.5793943201667897,NA,0.9154018931689463,NA,Otros
Serv. doméstico,1,NA,0.5795904679917278,NA,Otros
